20031,0,0,0,0,0,18
20033,0,0,0,0,0,18
20034,0,0,0,0,0,18
20041,0,0,0,0,0,18
20042,0,0,0,0,0,18
20043,0,0,0,0,0,18
20044,0,0,0,0,0,18
20051,0,0,0,0,0,18
20052,0,0,0,0,0,18
20053,0,0,0,0,0,18
20054,0,0,0,0,0,18
20061,0,0,0,0,0,18
20062,0,0,0,0,0,18
20071,7.1,41.3,1.7,38.4,6.4,18
20072,8.4,40.5,1.6,37.1,5.3,18
20073,6.2,40.4,2.6,37.9,7.8,18
20074,8.4,40.6,2.2,37.2,6.2,18
20081,7.4,41.1,3.1,38.0,4.8,18
20082,7.2,41.0,2.5,38.0,6.0,18
20083,6.9,40.5,2.1,37.7,5.6,18
20084,6.3,42.7,1.7,40.0,5.1,18
20091,7.0,43.7,2.0,40.6,5.1,18
20092,8.9,40.5,4.5,36.9,7.3,18
20093,8.1,39.3,2.5,36.1,5.8,18
20094,8.0,39.6,2.2,36.4,4.6,18
20101,8.3,41.8,1.7,38.4,3.5,18
20102,7.8,40.6,3.6,37.4,4.3,18
20103,7.6,38.4,2.1,35.5,3.5,18
20104,6.7,37.6,3.3,35.1,4.1,18
20111,5.1,38.4,1.7,36.5,5.5,18
20112,5.5,37.1,1.8,35.1,6.0,18
20113,8.1,39.0,1.1,35.8,5.4,18
20114,3.6,40.8,0.4,39.4,2.3,18
20121,4.9,39.0,1.0,37.0,2.5,18
20122,5.6,38.5,1.8,36.4,2.9,18
20123,7.3,38.8,1.3,36.0,4.7,18
20124,5.5,39.5,0.6,37.3,4.7,18
20131,6.1,39.0,0.8,36.6,4.9,18
20032,0,0,0,0,0,18
20063,7.8,40.8,2.2,37.6,7.0,18
20064,6.3,41.2,1.9,38.6,6.2,18
